"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"162","Wang_2018",3,"0",0.25526,1e-05,0.01,0.001,"-1",0.67,-0.67,"-1",1,0.505,-1,0
"163","Wang_2018",3,"0",0.16469,0.34,0.34,1,"0.001",0.01,1e-05,"-1",0.505,0.505,-0.505,0
"164","Wang_2018",3,"0",0.72628,-1,1,-1,"1",0.34,0.34,"-1",0.505,1,-0.505,1
"165","Wang_2018",3,"0",0.28779,-0.67,0.67,-1,"-1",1,-1,"-1",1,0.505,-1,1
"166","Wang_2018",3,"1",0.2747,1,1,1,"-1",0.67,-0.67,"-1",0.505,1,-0.505,1
"167","Wang_2018",3,"1",0.2697,0.34,0.34,1,"1",1,1,"1",1,1,1,1
"168","Wang_2018",3,"1",0.27474,1,1,1,"1",0.34,0.34,"1",1,1,1,1
"169","Wang_2018",3,"1",0.74414,0.34,0.34,1,"1",1,1,"1",1,1,1,1
"170","Wang_2018",3,"0",0.30135,-0.67,0.67,-1,"1",0.34,0.34,"1",1,1,1,1
"171","Wang_2018",3,"1",0.35233,-0.67,0.67,-1,"-1",0.67,-0.67,"-1",1,0.505,-1,0
"172","Wang_2018",3,"0",0.20854,1,1,1,"-1",0.67,-0.67,"1",0.505,0.01,0.505,0
"173","Wang_2018",3,"1",0.00062574,0.34,0.34,1,"1",1,1,"-1",0.01,0.505,-0.01,1
"174","Wang_2018",3,"0",1.0246,0.67,0.67,1,"1",0.34,0.34,"1",0.505,1,0.505,0
"175","Wang_2018",3,"0",0.86606,0.34,0.34,1,"1",0.67,0.67,"-1",1,0.505,-1,0
"176","Wang_2018",3,"1",0.18618,0.67,0.67,1,"1",0.34,0.34,"-1",0.505,1,-0.505,1
"177","Wang_2018",3,"0",0.25831,-0.34,0.34,-1,"1",0.67,0.67,"1",1,1,1,1
"178","Wang_2018",3,"0",0.45185,1e-05,0.01,0.001,"-1",0.34,-0.34,"-1",1,1,-1,0
"179","Wang_2018",3,"1",0.17482,0.34,0.34,1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"180","Wang_2018",3,"0",0.45095,0.34,0.34,1,"1",0.34,0.34,"1",1,1,1,0
"181","Wang_2018",3,"0",0.87621,-0.67,0.67,-1,"1",0.34,0.34,"-1",1,1,-1,1
"182","Wang_2018",3,"0",0.26699,0.67,0.67,1,"-1",0.67,-0.67,"-1",1,0.01,-1,0
"183","Wang_2018",3,"0",0.00055663,-1,1,-1,"1",0.67,0.67,"-1",0.01,1,-0.01,1
"184","Wang_2018",3,"0",0.33015,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"185","Wang_2018",3,"0",0.23415,-0.34,0.34,-1,"-1",1,-1,"-1",1,1,-1,1
"186","Wang_2018",3,"0",0.00053503,-0.67,0.67,-1,"-1",0.34,-0.34,"-1",1,1,-1,1
"187","Wang_2018",3,"0",0.0014892,-1,1,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
"188","Wang_2018",3,"1",0.22208,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"189","Wang_2018",3,"1",0.24384,1,1,1,"1",1,1,"1",1,1,1,1
"190","Wang_2018",3,"0",0.38291,1e-05,0.01,0.001,"1",1,1,"1",1,1,1,0
"191","Wang_2018",3,"1",0.024352,0.34,0.34,1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"192","Wang_2018",3,"1",0.49784,1,1,1,"1",0.34,0.34,"1",1,0.505,1,1
"193","Wang_2018",3,"0",0.024524,0.34,0.34,1,"1",1,1,"1",0.505,0.505,0.505,0
"194","Wang_2018",3,"0",1.4353,-0.67,0.67,-1,"1",0.34,0.34,"-1",0.505,1,-0.505,1
