Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
155,Wang_2018,3,0,1.249,-1.0,1.0,-1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.50365674
156,Wang_2018,3,1,0.21681,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.56665015
157,Wang_2018,3,0,0.90634,1e-05,0.01,0.001,1.0,0.34,0.34,1,0.505,0.505,0.505,0,-0.68416417
158,Wang_2018,3,0,0.68933,0.34,0.34,1.0,0.001,0.01,1e-05,-1,0.505,1.0,-0.505,0,-0.7700522
159,Wang_2018,3,0,0.23469,1e-05,0.01,0.001,1.0,0.34,0.34,-1,1.0,1.0,-1.0,0,-0.79774195
160,Wang_2018,3,0,0.65889,-0.67,0.67,-1.0,0.001,0.01,1e-05,-1,1.0,1.0,-1.0,1,-0.8014875
161,Wang_2018,3,0,0.65516,-0.67,0.67,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.8070958
162,Wang_2018,3,0,0.25526,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,0,-0.819938
163,Wang_2018,3,0,0.16469,0.34,0.34,1.0,0.001,0.01,1e-05,-1,0.505,0.505,-0.505,0,-0.80277234
164,Wang_2018,3,0,0.72628,-1.0,1.0,-1.0,1.0,0.34,0.34,-1,0.505,1.0,-0.505,1,-0.7342222
165,Wang_2018,3,0,0.28779,-0.67,0.67,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.6654212
166,Wang_2018,3,1,0.2747,1.0,1.0,1.0,-1.0,0.67,-0.67,-1,0.505,1.0,-0.505,1,-0.5867093
167,Wang_2018,3,1,0.2697,0.34,0.34,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.5204967
168,Wang_2018,3,1,0.27474,1.0,1.0,1.0,1.0,0.34,0.34,1,1.0,1.0,1.0,1,-0.5125288
169,Wang_2018,3,1,0.74414,0.34,0.34,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.50417405
170,Wang_2018,3,0,0.30135,-0.67,0.67,-1.0,1.0,0.34,0.34,1,1.0,1.0,1.0,1,-0.5434402
171,Wang_2018,3,1,0.35233,-0.67,0.67,-1.0,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,0,-0.5637845
172,Wang_2018,3,0,0.20854,1.0,1.0,1.0,-1.0,0.67,-0.67,1,0.505,0.01,0.505,0,-0.6934927
173,Wang_2018,3,1,0.00062574,0.34,0.34,1.0,1.0,1.0,1.0,-1,0.01,0.505,-0.01,1,-0.7168011
174,Wang_2018,3,0,1.0246,0.67,0.67,1.0,1.0,0.34,0.34,1,0.505,1.0,0.505,0,-0.80848837
175,Wang_2018,3,0,0.86606,0.34,0.34,1.0,1.0,0.67,0.67,-1,1.0,0.505,-1.0,0,-0.83400536
176,Wang_2018,3,1,0.18618,0.67,0.67,1.0,1.0,0.34,0.34,-1,0.505,1.0,-0.505,1,-0.80150205
177,Wang_2018,3,0,0.25831,-0.34,0.34,-1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.82521266
178,Wang_2018,3,0,0.45185,1e-05,0.01,0.001,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,0,-0.84119326
179,Wang_2018,3,1,0.17482,0.34,0.34,1.0,0.001,0.01,1e-05,-1,1.0,1.0,-1.0,1,-0.82417685
180,Wang_2018,3,0,0.45095,0.34,0.34,1.0,1.0,0.34,0.34,1,1.0,1.0,1.0,0,-0.8840942
181,Wang_2018,3,0,0.87621,-0.67,0.67,-1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,1,-0.895247
182,Wang_2018,3,0,0.26699,0.67,0.67,1.0,-1.0,0.67,-0.67,-1,1.0,0.01,-1.0,0,-0.92006207
183,Wang_2018,3,0,0.00055663,-1.0,1.0,-1.0,1.0,0.67,0.67,-1,0.01,1.0,-0.01,1,-0.8792268
184,Wang_2018,3,0,0.33015,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.84273946
185,Wang_2018,3,0,0.23415,-0.34,0.34,-1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.8138385
186,Wang_2018,3,0,0.00053503,-0.67,0.67,-1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.7721684
187,Wang_2018,3,0,0.0014892,-1.0,1.0,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.7245572
188,Wang_2018,3,1,0.22208,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.677323
189,Wang_2018,3,1,0.24384,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.65567124
190,Wang_2018,3,0,0.38291,1e-05,0.01,0.001,1.0,1.0,1.0,1,1.0,1.0,1.0,0,-0.65243304
191,Wang_2018,3,1,0.024352,0.34,0.34,1.0,0.001,0.01,1e-05,-1,1.0,1.0,-1.0,1,-0.6073289
192,Wang_2018,3,1,0.49784,1.0,1.0,1.0,1.0,0.34,0.34,1,1.0,0.505,1.0,1,-0.6197036
193,Wang_2018,3,0,0.024524,0.34,0.34,1.0,1.0,1.0,1.0,1,0.505,0.505,0.505,0,-0.65072066
194,Wang_2018,3,0,1.4353,-0.67,0.67,-1.0,1.0,0.34,0.34,-1,0.505,1.0,-0.505,1,-0.62535423
195,Wang_2018,3,0,0.25264,-1.0,1.0,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.595426
196,Wang_2018,3,0,0.29966,0.34,0.34,1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,0,-0.55883944
197,Wang_2018,3,1,0.28807,-0.34,0.34,-1.0,1.0,0.34,0.34,-1,1.0,0.505,-1.0,0,-0.43170312
198,Wang_2018,3,1,0.43787,-0.67,0.67,-1.0,-1.0,0.34,-0.34,1,0.505,0.505,0.505,0,-0.40254667
199,Wang_2018,3,0,0.33644,1e-05,0.01,0.001,-1.0,0.67,-0.67,1,0.505,0.505,0.505,0,-0.47519547
