Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
3763,Recht_unpub,3,1,1.131368876,1.0,1.0,1,1,1.0,1.0,1,0.01,1.0,0.01,1,-0.054871574
3764,Recht_unpub,3,0,2.6119349,-0.01,0.01,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.059588015
3765,Recht_unpub,3,1,1.191550016,-0.01,0.01,-1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,0,0.014523813
3766,Recht_unpub,3,0,2.031792879,-1.0,1.0,-1,-1,0.01,-0.01,1,0.01,0.01,0.01,1,0.021073684
3767,Recht_unpub,3,0,1.76156497,-1.0,1.0,-1,-1,1.0,-1.0,-1,0.01,1.0,-0.01,1,0.0625995
3768,Recht_unpub,3,1,2.591985941,0.01,0.01,1,-1,1.0,-1.0,-1,1.0,0.01,-1.0,1,0.14948699
3769,Recht_unpub,3,1,1.481618166,0.01,0.01,1,1,0.01,0.01,1,0.01,0.01,0.01,1,0.18135008
3770,Recht_unpub,3,1,0.301154852,1.0,1.0,1,1,0.01,0.01,1,0.01,0.01,0.01,1,0.17718184
3771,Recht_unpub,3,1,1.48167491,0.01,0.01,1,1,1.0,1.0,1,0.01,1.0,0.01,1,0.17819615
3772,Recht_unpub,3,1,1.301517963,0.01,0.01,1,1,0.01,0.01,1,1.0,1.0,1.0,1,0.14272617
3773,Recht_unpub,3,0,0.941458941,1.0,1.0,1,1,0.01,0.01,1,1.0,1.0,1.0,0,0.0704961
3774,Recht_unpub,3,1,3.602509022,-1.0,1.0,-1,1,1.0,1.0,-1,1.0,0.01,-1.0,0,0.12455488
3775,Recht_unpub,3,0,1.051307917,-1.0,1.0,-1,-1,1.0,-1.0,1,0.01,1.0,0.01,1,0.09232154
3776,Recht_unpub,3,1,6.16344595,1.0,1.0,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,0.09798846
3777,Recht_unpub,3,1,1.591682911,0.01,0.01,1,1,1.0,1.0,1,1.0,0.01,1.0,1,0.093241945
3778,Recht_unpub,3,0,1.681408167,0.01,0.01,1,1,0.01,0.01,1,0.01,1.0,0.01,0,0.050789077
3779,Recht_unpub,3,1,1.24155879,-1.0,1.0,-1,1,0.01,0.01,-1,1.0,0.01,-1.0,0,0.09077112
3780,Recht_unpub,3,1,2.111931086,0.01,0.01,1,-1,1.0,-1.0,1,0.01,1.0,0.01,1,0.035053052
3781,Recht_unpub,3,0,1.101217985,-0.01,0.01,-1,1,0.01,0.01,1,1.0,1.0,1.0,1,-0.08352392
3782,Recht_unpub,3,1,1.841820955,1.0,1.0,1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,1,-0.13039902
3783,Recht_unpub,3,0,2.031838894,1.0,1.0,1,1,1.0,1.0,1,0.01,0.01,0.01,0,-0.21838407
3784,Recht_unpub,3,1,1.011538982,1.0,1.0,1,1,1.0,1.0,-1,0.01,1.0,-0.01,1,-0.2091103
3785,Recht_unpub,3,0,1.881712914,-0.01,0.01,-1,1,1.0,1.0,1,1.0,0.01,1.0,1,-0.24530524
3786,Recht_unpub,3,0,2.241779089,-0.01,0.01,-1,-1,0.01,-0.01,-1,0.01,1.0,-0.01,1,-0.2346762
3787,Recht_unpub,3,1,1.711742163,0.01,0.01,1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,1,-0.16709995
3788,Recht_unpub,3,0,1.251493931,-1.0,1.0,-1,1,0.01,0.01,1,0.01,1.0,0.01,1,-0.1903762
3789,Recht_unpub,3,0,0.871266127,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.20117137
3790,Recht_unpub,3,0,4.072663069,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.19997026
3791,Recht_unpub,3,0,3.172127008,0.01,0.01,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,0,-0.19065088
3792,Recht_unpub,3,1,2.031874895,-0.01,0.01,-1,1,0.01,0.01,-1,1.0,0.01,-1.0,0,-0.13570963
3793,Recht_unpub,3,0,1.551529884,-0.01,0.01,-1,-1,0.01,-0.01,1,0.01,1.0,0.01,1,-0.16738161
3794,Recht_unpub,3,1,2.772178173,-0.01,0.01,-1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,0,-0.13300367
3795,Recht_unpub,3,0,2.641931057,-0.01,0.01,-1,-1,0.01,-0.01,1,0.01,1.0,0.01,1,-0.19114895
3796,Recht_unpub,3,0,1.291400194,-1.0,1.0,-1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,1,-0.19371179
3797,Recht_unpub,3,1,0.811314821,1.0,1.0,1,-1,1.0,-1.0,-1,0.01,1.0,-0.01,1,-0.18280677
3798,Recht_unpub,3,0,1.201267004,-0.01,0.01,-1,1,1.0,1.0,1,1.0,0.01,1.0,1,-0.21671052
3799,Recht_unpub,3,0,1.19128108,-1.0,1.0,-1,-1,0.01,-0.01,-1,0.01,1.0,-0.01,1,-0.19608672
3800,Recht_unpub,3,1,1.051373959,1.0,1.0,1,-1,1.0,-1.0,-1,1.0,0.01,-1.0,1,-0.16113281
3801,Recht_unpub,3,0,1.311552048,0.01,0.01,1,1,1.0,1.0,1,0.01,0.01,0.01,0,-0.1713779
3802,Recht_unpub,3,1,0.990648985,1.0,1.0,1,1,0.01,0.01,-1,0.01,1.0,-0.01,1,-0.11792166
3803,Recht_unpub,3,1,1.581558943,-0.01,0.01,-1,1,1.0,1.0,1,1.0,0.01,1.0,0,-0.09795527
