"study","subj","mean_conf","sd_conf","sd_criterion_fluctuations","a","sigmasq","mu_x"
"Maniscalco_2017_expt2","36_Maniscalco_2017_expt2",0.35426326129666,0.324447588438678,0.504832338674689,0.9046689,0.12857077,0.4430593
"Maniscalco_2017_expt2","37_Maniscalco_2017_expt2",0.466673228346457,0.421248912712368,0.612628352913016,0.93109757,0.103289865,0.28411594
"Maniscalco_2017_expt2","38_Maniscalco_2017_expt2",0.235,0.203358192496505,0.672772339273128,0.9168415,0.16448516,-0.2960321
"Maniscalco_2017_expt2","39_Maniscalco_2017_expt2",0.21811394891945,0.270196740040783,0.293736898174135,0.8983274,0.06293872,-0.05660198
"Maniscalco_2017_expt2","40_Maniscalco_2017_expt2",0.514094488188976,0.361560510687619,0.398396617712485,0.91338456,0.075586215,0.28740942
"Maniscalco_2017_expt2","41_Maniscalco_2017_expt2",0.526891089108911,0.372456503825436,0.526959687476849,0.90897083,0.12288883,-0.05155215
"Recht_unpub","1_Recht_unpub",0.581357951161406,0.48922081992735,0.191507969082715,0.71273607,0.14996013,-0.038071077
"Recht_unpub","2_Recht_unpub",0.633835616438356,0.478082120646989,0.0893140439210907,0.7010443,0.058303617,0.0019554358
"Recht_unpub","3_Recht_unpub",0.485836807623585,0.494776288093325,0.168111586901469,0.7439269,0.100353025,-0.08408886
"Recht_unpub","4_Recht_unpub",0.616736152471709,0.482367716472446,0.775533186113203,0.8044171,0.56064904,0.26571813
"Recht_unpub","5_Recht_unpub",0.594919594997022,0.486909303599407,0.272325892076395,0.76617503,0.16510198,-0.2380014
"Recht_unpub","6_Recht_unpub",0.67039309112567,0.466690309935058,0.119179333666184,0.7196205,0.07716544,0.25855684
"Recht_unpub","7_Recht_unpub",0.522394282310899,0.494841672338159,0.390242475528766,0.75617033,0.31687468,0.044056136
"Recht_unpub","8_Recht_unpub",0.792447885646218,0.403107298561749,0.622540738707113,0.7990256,0.41754395,0.013806789
"Recht_unpub","9_Recht_unpub",0.419207861822513,0.487653919013857,0.140975614994496,0.71010727,0.10295388,0.035275687
"Recht_unpub","10_Recht_unpub",0.370268016676593,0.476453037201171,0.170201927400359,0.7129147,0.12792073,0.045066163
"Shekhar_2021","1_Shekhar_2021",0.507866366559485,0.229039925021081,0.324315688401326,0.8982798,0.06955952,0.52546567
"Shekhar_2021","2_Shekhar_2021",0.463990868167203,0.263189771637433,0.590012032526325,0.90587634,0.14538805,-0.11030191
"Shekhar_2021","3_Shekhar_2021",0.396191254019293,0.265900479080486,0.432387021554203,0.87468255,0.15552047,0.12610726
"Shekhar_2021","4_Shekhar_2021",0.493598199356913,0.34637108441957,0.580122751515019,0.9505458,0.060499955,0.41634062
"Shekhar_2021","5_Shekhar_2021",0.258399099678457,0.309393692618202,0.71451656016842,0.9133251,0.16520865,0.2915082
"Shekhar_2021","6_Shekhar_2021",0.393476977491961,0.351891562860154,0.6056186706392,0.88721275,0.18748231,0.25809646
"Shekhar_2021","7_Shekhar_2021",0.222983344051447,0.119337076691623,0.421984239502671,0.9017376,0.10006787,-0.34443486
"Shekhar_2021","8_Shekhar_2021",0.364880514469453,0.365689394155973,0.583101454383789,0.97293663,0.029333161,0.19757229
"Shekhar_2021","9_Shekhar_2021",0.25989807073955,0.19441214852672,0.249733873757169,0.8619756,0.074218154,0.20686042
"Shekhar_2021","10_Shekhar_2021",0.760462443729904,0.320781501116415,0.273232900931838,0.90147996,0.053583033,-0.0970886
"Shekhar_2021","11_Shekhar_2021",0.441633633440514,0.296326571908539,0.322331970100261,0.8525105,0.12151971,0.29996592
"Shekhar_2021","12_Shekhar_2021",0.64290038585209,0.399425535776804,0.718500418936632,0.9487564,0.08910622,-0.23937999
"Shekhar_2021","13_Shekhar_2021",0.723570353697749,0.323106165924534,0.331309098402093,0.8684105,0.110224575,0.07431569
"Shekhar_2021","14_Shekhar_2021",0.582548938906752,0.243563022650308,0.372452429313869,0.8706379,0.11959245,-0.07680767
"Shekhar_2021","15_Shekhar_2021",0.31477498392283,0.226020767368951,0.177267116053169,0.8342349,0.06270476,0.054472473
"Shekhar_2021","16_Shekhar_2021",0.542288938906752,0.284870891722806,0.646217897969653,0.8474582,0.32024416,-0.18267547
"Shekhar_2021","17_Shekhar_2021",0.535345852090032,0.310880266906527,0.178168897267921,0.82413864,0.074479304,0.40573135
